Edizione_Olimpiadi,ID_Edizione,Anno,Nazione,Codice_NOC,Medaglie_Oro,Medaglie_Argento,Medaglie_Bronzo,Totale_Medaglie,Paese_Ospitante,Citta_Ospitante,Precipitazioni_Medie_mm,Superficie_Totale_km2,Investimenti_Diretti_Esteri_perc_PIL,Densita_Popolazione,Inflazione_Prezzi_Consumo,Spesa_Militare_Valuta_Locale,Spesa_Militare_perc_PIL,Spesa_Pubblica_Consumi_USD,Spesa_Nazionale_Lorda_Valuta_Locale,Interscambio_Commerciale_perc_PIL,Valore_Aggiunto_Industria_perc_PIL,Valore_Aggiunto_Servizi_Valuta_Locale,Valore_Aggiunto_Servizi_perc_PIL,Inflazione_Deflatore_PIL,PIL_Assoluto_USD,PIL_Valuta_Locale,Crescita_PIL_perc_annua,PIL_Pro_Capite_USD,RNL_Valuta_Locale,RNL_Pro_Capite_USD,Iscrizioni_Scuola_Primaria_perc,Tasso_Mortalita_Neonatale,Tasso_Mortalita_Infantile,Aspettativa_di_Vita,Popolazione_Eta_Lavorativa_perc,Crescita_Demografica_perc,Popolazione_Totale,Popolazione_Urbana,Tasso_Urbanizzazione_perc
1964 Summer Olympics,16.0,1964.0,New Zealand,NZL,3.0,0.0,2.0,5.0,JPN,Tokyo,1732.0,267710.0,,9.410327497373183,1.7862464995455092,70675000.0,2.4211464644689675,,,,,,,2.5616680198668664,6022748350.505216,3106536941.2163525,4.16621348878222,2454.044774690725,3088671788.5066524,2505.0,,,21.325,71.18353658536586,58.52666337376128,2.1760450557344364,2451325.0,1574327.5,64.19354765727508
1964 Summer Olympics,16.0,1964.0,Romania,ROU,2.0,4.0,6.0,12.0,JPN,Tokyo,637.0,238390.0,,81.08253017278805,,501350.0,,,,,,,,,,,,,,,,,63.375,66.01626219512198,65.1670661351598,0.7005545212245062,18609138.75,6582644.5,35.36758421498895
1964 Summer Olympics,16.0,1964.0,Netherlands,NED,2.0,4.0,4.0,10.0,JPN,Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964 Summer Olympics,16.0,1964.0,Türkiye,TUR,2.0,3.0,1.0,6.0,JPN,Tokyo,593.0,785350.0,,38.876787547263,4.772156015315978,2815.0,3.5986341619972,808333333.3333333,59300.0,10.605206172335686,17.146861432945776,21725.0,27.676893137915275,5.52634423675351,8708333333.333344,78375.0,5.264601173203716,294.1757440600288,,,,61.1,172.025,51.956,53.48540944996232,2.7072952959239767,29523031.0,7068593.0,23.931158769252
1964 Summer Olympics,16.0,1964.0,Sweden,SWE,2.0,2.0,4.0,8.0,JPN,Tokyo,624.0,447420.11,,18.5642875794658,3.4844224561594226,3137250000.0,3.832076451711585,2814224165.412135,96355236500.0,40.32271998288875,,,,3.239848870578087,18098973730.76828,93629794500.0,5.089424619714873,2398.343595437955,92462535835.16058,2505.0,,12.55,15.725,73.34646341463416,66.17862318886333,0.5287500218754043,7542642.5,5569933.25,73.83974277035627
1964 Summer Olympics,16.0,1964.0,Denmark,DEN,2.0,1.0,3.0,6.0,JPN,Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964 Summer Olympics,16.0,1964.0,Yugoslavia,YUG,2.0,1.0,2.0,5.0,JPN,Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964 Summer Olympics,16.0,1964.0,Belgium,BEL,2.0,0.0,1.0,3.0,JPN,Tokyo,847.0,33120.0,,,1.211188491073517,508573500.0,3.289450267808145,,,,,,,2.002985780344193,13063738402.6563,16192080757.342075,4.847336951372539,1417.5907565632149,16418062177.36825,1520.0,,18.525,27.75,70.12347560975613,64.00267679348565,0.4926225544360902,9211946.25,6119140.0,66.42382111347845
1964 Summer Olympics,16.0,1964.0,France,FRA,1.0,8.0,6.0,15.0,JPN,Tokyo,867.0,549086.0,,89.7875900671058,4.217707442318085,2707997903.4203978,5.155762622682047,11115725868.490452,53281675000.0,27.271154775590023,30.356862610638853,26137800000.0,48.06029377605698,4.544730748945753,72135430778.82413,54292725000.0,5.968676320921993,1496.474479593175,54672350000.0,1605.0,,17.05,21.925,70.20365853658538,62.03928816237088,1.0140948416530131,48146507.25,30367903.75,63.06179096996952
1964 Summer Olympics,16.0,1964.0,Canada,CAN,1.0,2.0,1.0,4.0,JPN,Tokyo,537.0,15640500.0,,2.07642032853759,1.2667961984939071,1718375000.0,3.98335882098406,6862654517.871057,45690666666.66666,35.551188145921,,,,1.978842685810024,42269627791.91688,43711063293.99465,5.296189645705954,2291.4444656461524,43757687362.0784,2395.0,,,26.475,71.30676829268293,58.50520010682075,1.9073062393115368,18439589.0,12932734.0,70.1178751240014
